target_date,expected_revenue,realized_revenue,net_revenue
2025-02-01,1681561.6596745923,1771521.0336378722,1367904.9532149127
2025-02-02,267668.1596474356,620024.788409686,349461.0421401919
2025-02-03,637093.6926446434,1773288.40919439,1344731.850816971
2025-02-04,1011875.4467055356,1592295.3121148783,1166881.508992501
2025-02-05,1071093.7982289994,1757971.3534584905,1327840.1572191895
2025-02-06,792670.1615094211,1666123.115572068,1312400.0949162655
2025-02-07,666798.2542862241,1465289.6066240498,1113797.6269399985
2025-02-08,1174583.871076494,1238347.981534862,841841.7712665254
2025-02-09,292928.0883683774,590125.916470153,332148.85144664615
2025-02-10,656106.1147737374,1931743.0662338329,1574253.7836009292
2025-02-11,1362385.307945782,2125937.351717233,1766005.6753251818
2025-02-12,709243.4093640134,1545929.4836834264,1189340.9630489638
2025-02-13,838985.7270722173,1876268.6999930218,1446727.0558848593
2025-02-14,621681.3703582349,1468315.3498971234,1110014.4983360837
2025-02-15,1459452.891382085,1272480.9297442308,1010673.9095321825
2025-02-16,84521.59271687779,290832.1734794533,102203.12329651418
2025-02-17,505480.39259305265,1606775.536106316,1185288.2637126662
2025-02-18,1206644.744408795,2126328.8055490623,1699433.3601667695
2025-02-19,980537.1045451775,2076552.6410349675,1647340.7328048213
2025-02-20,793956.756583376,1858660.4222178175,1503985.5071581937
2025-02-21,998365.55580952,2700900.731977897,2265858.401736074
2025-02-22,1670363.992763152,2421819.705128584,1988227.9870216127
2025-02-23,373256.2399866883,1006108.6214065957,744975.6012451291
2025-02-24,664027.9955253417,1847119.008340113,1516636.1119264504
2025-02-25,563754.6855952074,1424113.1147976955,1139964.8178187902
2025-02-26,526101.6907223144,1317071.581056874,967478.7588385716
2025-02-27,587102.6779249562,1093255.1937612286,951639.2829529487
2025-02-28,380436.7963326557,1464783.8898960047,1118886.767936597
2025-03-01,905717.0965064757,1340377.7211483463,1004695.6398095503
2025-03-02,446258.148585174,801945.8206186792,476399.3056176964
2025-03-03,655771.2224166616,1594895.69540568,1167037.4823055796
2025-03-04,553610.2640999458,1161701.8181042497,730777.1343626294
2025-03-05,1579087.278312725,1950121.1743369012,1593804.322292499
2025-03-06,1307992.7317026465,1314483.9204954663,909170.4028116311
2025-03-07,1066624.896641105,1693796.6724402201,1407443.5199314307
2025-03-08,1388495.0129930826,1406769.152890206,1050594.8019355282
2025-03-09,637780.899004018,1492121.9939512988,1146776.9712015083
2025-03-10,1035031.2638571103,1042918.5076337339,684659.7219820789
2025-03-11,820283.5102599544,1306997.6471571717,882488.8713977351
2025-03-12,775864.1632493308,1361248.2983719693,1074574.4537258104
2025-03-13,756396.1283997353,1124594.3872675188,796792.4953084441
2025-03-14,1747947.3136125056,573923.6683092649,379230.38883572316
2025-03-15,859060.415707898,897805.0797440251,693053.2486877409
2025-03-16,282112.80028418876,464936.16609166376,286216.0367147439
2025-03-17,589180.3324077807,469884.2298762285,256570.4314117438
2025-03-18,554089.4673913532,640516.7152444277,425205.16719944443
2025-03-19,1375785.3630376947,1579474.4730392366,1297119.4864396548
2025-03-20,1371144.0359662438,1729475.7551568816,1446104.2856438812
2025-03-21,1097710.558565997,1813688.9083755615,1672345.8120810075
2025-03-22,1877041.2361188002,1938373.192475543,1728985.5844312287
2025-03-23,540467.7387808091,254876.24008288578,55058.87837957597
2025-03-24,899730.4303478058,737120.1075461509,528391.043929619
2025-03-25,646706.572950967,907596.9674733896,628054.0575727413
2025-03-26,752122.6609797789,1261363.929702824,1046290.6261649802
2025-03-27,1481344.046223545,1977488.2972260662,1619402.0525983386
2025-03-28,1491377.090834121,1354097.512385015,1136587.7322275017
2025-03-29,1717190.0097437033,2598670.335684331,2382008.439585808
2025-03-30,987685.4356305543,1012726.1992969135,810733.9918289753
2025-03-31,1750865.7819013945,1581465.5684309425,1369862.77364616
2025-04-01,578441.9827990942,1972013.0392983214,1622598.672338326
2025-04-02,1304175.0790467437,1482489.3521884475,1125709.0248509992
2025-04-03,1255048.7410143819,2067627.715963872,1740089.8516929063
2025-04-05,1217827.420428019,949082.9262453202,671317.7487238111
2025-04-06,818518.7434716499,973833.406275061,775458.9330043298
2025-04-07,970173.6750791064,1829091.1605231096,1612156.4917870893
2025-04-08,1365176.1138487135,1608160.4236397864,1318562.1696871566
2025-04-09,2129467.068742302,2284841.742920286,1920897.3337052378
2025-04-10,2402162.5010697274,3834597.5903251306,3628204.702279666
2025-04-11,3472552.0975856646,4306159.506416379,4099533.059722525
2025-04-12,2281902.175317298,1032804.2944565869,830473.327563616
2025-04-13,739123.9124281388,818251.1504776082,621438.5318311611
2025-04-14,813296.0465054495,2111805.4234637115,1903423.454020018
2025-04-15,1144313.645731456,1463828.4796943488,1248051.0553815034
2025-04-16,1289955.7050248652,1240147.1858592923,1023983.1459419755
2025-04-17,1435255.211999912,2462380.107909605,2245386.9839666593
2025-04-18,1708501.4542721033,3116551.3768030424,2908240.867703382
2025-04-19,2707712.594988296,2629892.957424281,2415856.09400065
2025-04-20,1016866.4241903763,2701364.346853398,2492180.948650227
2025-04-21,2255881.113912569,2234458.6771319527,1943992.034250967
2025-04-22,3030566.8242117222,1996254.0651696543,1776334.520056536
2025-04-23,1498843.4431102965,1223577.1033453746,1004045.4661959409
2025-04-24,2012109.7089941262,1931684.057637202,1645325.8611122314
2025-04-25,1535912.7370771943,1993422.0181832537,1634583.3770819143
2025-04-26,1583387.3925812608,1988965.3619787567,1629710.965682956
2025-04-27,1346952.7770671584,2938105.362340685,2591953.038191596
2025-04-28,2475852.1704774695,2901764.1009895955,2684576.19738457
2025-04-29,2136821.6843183474,2398804.190283142,2113324.259768221
2025-04-30,1747937.226365235,2663844.0290802023,2449744.0129890377
2025-05-01,2134813.760845146,2073839.9125227423,1872910.817472626
2025-05-02,2096987.6335283911,3012042.314187593,2801503.7615432907
2025-05-03,807971.1684928425,2032498.0905401735,1846356.8095561317
2025-05-04,1007803.9013759866,1403963.3705185002,1206118.5703080716
2025-05-05,1177606.4178062829,1985180.7778813574,1916967.8845727483
2025-05-06,772839.048800021,2453033.1851681867,2245171.1967503466
2025-05-07,840266.8328598116,1247435.4780476862,1042588.0076075019
2025-05-08,876150.7641694045,1035149.2895832466,829795.2469698251
2025-05-09,1509047.40327578,1291596.214767379,1073047.6107182503
2025-05-10,1394566.5271788074,1303349.082970131,1085618.0750209047
2025-05-11,795740.65042479,1166119.4352004789,955273.190108626
2025-05-12,1386586.4483840992,1531896.7882075582,1314248.3544789304
2025-05-13,1019388.153521158,2062625.634412645,1774617.3738929774
2025-05-14,1462706.5656185637,1837196.5561947739,1617767.2045620785
2025-05-15,1739370.5330361063,1476215.8378844373,1256903.6348691948
2025-05-16,1224609.3034662458,2604061.0904242746,2317298.7809232706
2025-05-17,1921780.0517399234,3062137.9392316584,2851345.668780132
2025-05-18,1287737.3376934344,2316987.944624781,2111197.3601004467
2025-05-19,1647391.1193947075,1801899.0746494262,1585599.6394690648
2025-05-20,1529270.4448301506,1676558.831407729,1459559.42173202
2025-05-21,882437.4521635452,2443465.1798808086,2307915.3244126304
2025-05-22,2222407.5804343936,3567474.0567021337,3356477.3517906773
2025-05-23,1121830.7814050885,1479281.2355734291,1270224.3962280445
2025-05-24,959293.8608822695,1534111.1054061106,1333376.2295012027
2025-05-25,1008686.7508079964,2172957.224228943,1975042.662063844
2025-05-26,1048796.4174210224,1690170.0721579841,1445602.6959727744
2025-05-27,574554.5844812011,1356738.1883404865,1146452.0300435538
2025-05-28,1049962.114644113,1605414.818754246,1334157.823425043
2025-05-29,803656.3136035741,1370464.9496194094,1169346.414743903
2025-05-30,1537504.0672217286,1562314.0245503483,1366047.9999419095
2025-05-31,966913.3867092142,1266873.868320768,1071253.3557867883
2025-06-01,170696.27759570925,861721.5471065663,668175.3657700652
2025-06-02,1028716.7480550411,1038268.3758045699,836280.3870109267
2025-06-03,653632.1164021023,971852.5336585515,764632.7269054232
2025-06-04,633518.3862277175,944994.7360737866,740122.6930059443
2025-06-05,1594238.4121065424,1971353.432087566,1755672.3374553723
2025-06-06,2549901.3775303173,2592807.3363341046,2375175.2819388043
2025-06-07,1440377.2306991727,1801501.407303976,1525735.4611314256
2025-06-08,1259816.6619916467,1825279.3377268072,1611477.6765918618
2025-06-09,1527120.872566755,1771693.7678096774,1553386.995214538
2025-06-10,1509050.099331967,1826711.8624176998,1609580.252360624
2025-06-11,1754328.0289568265,2235890.0303286063,2017655.5618056871
2025-06-12,1850406.7474534116,1615268.7999795573,1397354.292110395
2025-06-13,2495493.014585589,2356118.6818215023,2137648.7600273164
2025-06-14,2112742.1893402757,2987138.9131160374,2644110.037202226
2025-06-15,1061570.071820374,1629275.186823878,1420280.0674041968
2025-06-16,1442694.2255337609,2283541.1881497004,2073337.0190886322
2025-06-17,992290.6443729998,2498902.5589799043,2291621.114314651
2025-06-18,1264661.0435907503,1011720.3190084902,813789.6886958722
2025-06-19,965942.6030127949,435961.9042526783,239626.33799112585
2025-06-20,816989.217064342,854183.5480699202,658354.0830953077
2025-06-21,728244.5318110869,751523.5477930246,543562.1153765994
2025-06-22,246433.72786114487,643909.9834385099,449656.84287249064
2025-06-23,1269106.476754776,1618340.7775394926,1410678.920423306
2025-06-24,700083.3932248434,1043533.6073881162,838195.7034828304
